departamento,municipio,validos,blancos,nulos,emitidos,inscritos,sigla
POTOSÍ,SAN ANTONIO DE ESMORUCO,99,1,6,106,244,MAS_IPSP
POTOSÍ,SAN PABLO,29,2,1,32,90,MAS_IPSP
POTOSÍ,SAN PEDRO,1847.9999999999998,60.000000000000014,43,1950.9999999999998,2995,MAS_IPSP
POTOSÍ,SAN PEDRO DE QUEMES,28,0,0,28,67,MAS_IPSP
POTOSÍ,TACOBAMBA,269,9.999999999999998,10,289,706,MAS_IPSP
POTOSÍ,TINGUIPAYA,1269.9999999999995,34,43,1347,2335.0000000000005,MAS_IPSP
POTOSÍ,TOMAVE,661,49.00000000000001,74,784,1383,MAS_IPSP
POTOSÍ,TORO TORO,1606,36,28,1670,2211.0000000000005,MAS_IPSP
POTOSÍ,TUPIZA,717,29.000000000000004,40.99999999999999,787.0000000000001,2509,MAS_IPSP
POTOSÍ,UNCIA,686,25.000000000000007,28.999999999999996,740,1874.9999999999998,MAS_IPSP
POTOSÍ,URMIRI,62,2,1,65,112,MAS_IPSP
POTOSÍ,UYUNI,621,40,57.999999999999986,719.0000000000002,2224.9999999999995,MAS_IPSP
POTOSÍ,VILLAZÓN,1011.9999999999998,41.999999999999986,52.99999999999999,1107,3347,MAS_IPSP
POTOSÍ,VITICHE,703.0000000000001,33,19,755,1328,MAS_IPSP
POTOSÍ,YOCALLA,245.00000000000003,12,18.000000000000004,275,625,MAS_IPSP
SANTA CRUZ,ASCENCIÓN DE GUARAYOS,923.9999999999999,64,80.00000000000001,1068.0000000000002,2516,MAS_IPSP
SANTA CRUZ,BOYUIBE,145,14,5,164,416,MAS_IPSP
SANTA CRUZ,BUENA VISTA,736,38.00000000000001,67,841,1557,MAS_IPSP
SANTA CRUZ,CABEZAS,716,51.99999999999999,71,838.9999999999999,1553,MAS_IPSP
SANTA CRUZ,CAMIRI,975.9999999999999,74,109.00000000000001,1159,3238,MAS_IPSP
SANTA CRUZ,CHARAGUA,708.0000000000001,48.00000000000001,27.000000000000004,783.0000000000001,1706,MAS_IPSP
SANTA CRUZ,COLPA BELGICA,68,11,11,90,307,MAS_IPSP
SANTA CRUZ,COMARAPA,674.0000000000001,41.00000000000001,32,747,1501,MAS_IPSP
SANTA CRUZ,CONCEPCIÓN,764.0000000000001,27.999999999999993,41,833.0000000000002,1776.9999999999998,MAS_IPSP
SANTA CRUZ,COTOCA,791.9999999999999,40,41,873.0000000000001,2206.0000000000005,MAS_IPSP
SANTA CRUZ,CUATRO CAÑADAS,1318.9999999999998,37.99999999999999,66,1423,2597,MAS_IPSP
SANTA CRUZ,CUEVO,12,3,0,15,154,MAS_IPSP
SANTA CRUZ,EL CARMEN RIVERO TORREZ,139,9,12,160,523,MAS_IPSP
SANTA CRUZ,EL PUENTE,456.99999999999994,8,13,477.99999999999994,1103,MAS_IPSP
SANTA CRUZ,EL TORNO,2833.9999999999995,114.00000000000001,146.00000000000003,3094,5509,MAS_IPSP
SANTA CRUZ,FERNÁNDEZ ALONSO,1286,42,64,1392,2333.9999999999995,MAS_IPSP
SANTA CRUZ,GENERAL SAAVEDRA,972,48,27.000000000000004,1047.0000000000002,1909.0000000000002,MAS_IPSP
SANTA CRUZ,GUTIÉRREZ,247.00000000000003,13,24.999999999999996,285.00000000000006,692,MAS_IPSP
SANTA CRUZ,LA GUARDIA,1423,87.00000000000001,126.00000000000003,1636,5207.999999999999,MAS_IPSP
SANTA CRUZ,LAGUNILLAS,109,5,1,115,258,MAS_IPSP
SANTA CRUZ,MAIRANA,446,21,64,531,1344,MAS_IPSP
SANTA CRUZ,MINEROS,1432,103,62,1597.0000000000005,2965.0000000000005,MAS_IPSP
SANTA CRUZ,MONTERO,6651.000000000002,382.0000000000001,389.9999999999999,7422.999999999998,14490.999999999987,MAS_IPSP
SANTA CRUZ,MOROMORO,84,5,2,91,218,MAS_IPSP
SANTA CRUZ,OKINAWA UNO,348,34.99999999999999,29,412,805,MAS_IPSP
SANTA CRUZ,PAILÓN,874,43,46.99999999999999,964,2230,MAS_IPSP
SANTA CRUZ,PAMPA GRANDE,614.9999999999998,36,56.999999999999986,708,1122,MAS_IPSP
